ItemNumber,InventoryUnitSymbol,UnitCost,PurchId,InvoiceId,PackingSlipId,PurchUnit,PurchPrice,InvoiceDocumentDate,CreatedDateTimeInvoice,NumUnit,UnitPrice
100051,LTR.,2.97,MSA-008101,F002-0006958,0116-0001152,LTR,2.9661,2021-01-25,2021-01-28T20:59:58Z,1,2.97
100052,SA.,79.66,MSA-007220,F002-0006812,0118-000840,SA,79.661,2020-12-29,2021-01-07T20:18:21Z,1,79.66
100053,SA.,0,,,,,,,,,
100054,SA.,83.57,MSA-008556,F002-0006978,108-0000973,SA,82.2034,2021-01-29,2021-02-10T19:49:49Z,1,82.2
100055,U.,4.24,,,,,,,,,
100056,U.,4.24,,,,,,,,,
100057,U.,4.24,,,,,,,,,
100058,U.,4.24,,,,,,,,,
100059,U.,2.12,,,,,,,,,
100060,U.,2.12,,,,,,,,,
100061,U.,2.12,,,,,,,,,
100062,U.,2.12,,,,,,,,,
100063,U.,2.12,,,,,,,,,
100064,U.,2.12,,,,,,,,,
100065,U.,2.12,,,,,,,,,
100066,U.,2.12,,,,,,,,,
100067,SA.,37.95,MSA-009281,F308-00000090,0110-000996,SA,37.8097,2021-02-24,2021-03-01T19:37:40Z,1,37.81
100068,U.,6.07,MSA-008641,F721-00000320,721-0000781,Emp.12,72.804,2021-02-05,2021-02-12T19:13:01Z,12,6.07
100069,U.,5.97,MSA-008641,F721-00000320,721-0000781,Emp.12,71.687,2021-02-05,2021-02-12T19:13:01Z,12,5.97
100070,U.,2.07,MSA-008998,F316-00001389,706-0003938,Emp.24,49.706,2021-02-23,2021-02-27T19:45:40Z,24,2.07
100071,U.,3.44,MSA-008998,F316-00001389,706-0003938,Emp.12,41.289,2021-02-23,2021-02-27T19:45:40Z,12,3.44
100072,U.,1.09,MSA-008998,F316-00001389,706-0003938,Emp.24,26.118,2021-02-23,2021-02-27T19:45:40Z,24,1.09
100073,U.,2.32,MSA-009001,F316-00001385,706-0003918,Emp.24,55.6584,2021-02-23,2021-03-01T19:23:12Z,24,2.32
100074,U.,2.29,MSA-008998,F316-00001389,706-0003938,Emp.24,55.038,2021-02-23,2021-02-27T19:45:40Z,24,2.29
100075,U.,6.32,MSA-008998,F316-00001389,706-0003938,Emp.12,75.8666,2021-02-23,2021-02-27T19:45:40Z,12,6.32
100076,U.,3.79,MSA-008998,F316-00001389,706-0003938,Emp.12,45.521,2021-02-23,2021-02-27T19:45:40Z,12,3.79
100077,U.,5.95,MSA-008998,F316-00001389,706-0003938,Emp.12,71.468,2021-02-23,2021-02-27T19:45:40Z,12,5.96
100078,U.,0.18,MSA-003870,F001-00521119,600-2144551,Emp.240,42.9915,2020-10-23,2020-10-29T15:30:19Z,240,0.18
100079,U.,12.11,MSA-008641,F721-00000320,721-0000781,Emp.6,72.686,2021-02-05,2021-02-12T19:13:01Z,6,12.11
100080,U.,0,,,,,,,,,
100081,U.,1.07,MSA-008998,F316-00001389,706-0003938,Emp.24,25.616,2021-02-23,2021-02-27T19:45:40Z,24,1.07
100082,U.,2.38,MSA-004957,F001-00525614,600-2154951,Emp.12,28.578,2020-11-15,2020-11-21T20:02:52Z,12,2.38
100083,U.,1.45,MSA-006255,F001-00531944,600-2168612,Emp.24,35.359,2020-12-15,2020-12-22T21:04:04Z,24,1.47
100083,U.,1.45,MSA-006255,F001-00531944,600-2168612,Emp.24,35.359,2020-12-15,2020-12-22T21:04:04Z,24,1.47
100083,U.,1.45,MSA-006255,F001-00531944,600-2168612,Emp.24,35.359,2020-12-15,2020-12-22T21:04:04Z,24,1.47
100083,U.,1.45,MSA-006255,F001-00531944,600-2168612,Emp.24,35.359,2020-12-15,2020-12-22T21:04:04Z,24,1.47
100084,U.,0,,,,,,,,,
100085,U.,1.94,MSA-005918,NCI1-00000024,029-001762,U,2.022,2020-12-02,2020-12-22T15:48:57Z,1,2.02
100086,U.,0,,,,,,,,,
